Category,CountryA3,Sector
Primary Inputs_Consumption of fixed capital K_1,SRB,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SRB,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SRB,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SRB,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SRB,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SRB,Mining and Quarrying
public services,SRB,Public Administration
research,SRB,"Education, Health and Other Services"
services,SRB,Construction
services,SRB,Hotels and Restraurants
services,SRB,Maintenance and Repair
services,SRB,Others
services,SRB,Post and Telecommunications
services,SRB,Private Households
services,SRB,Recycling
transport,SRB,Re-export & Re-import
transport,SRB,Retail Trade
transport,SRB,Transport
transport,SRB,Transport Equipment
transport,SRB,Wholesale Trade
water,SRB,"Electricity, Gas and Water"
wood processing,SRB,Wood and Paper
agriculture,STP,Agriculture
fishery,STP,Fishing
food processing,STP,Food & Beverages
fuel,STP,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,STP,Electrical and Machinery
manufacturing,STP,Finacial Intermediation and Business Activities
manufacturing,STP,Metal Products
manufacturing,STP,Other Manufacturing
manufacturing,STP,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,STP,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,STP,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,STP,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,STP,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,STP,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,STP,Primary Inputs_Taxes on production D_29
primary non-agricultural products,STP,Mining and Quarrying
public services,STP,Public Administration
research,STP,"Education, Health and Other Services"
services,STP,Construction
services,STP,Hotels and Restraurants
services,STP,Maintenance and Repair
services,STP,Others
services,STP,Post and Telecommunications
services,STP,Private Households
services,STP,Recycling
transport,STP,Re-export & Re-import
transport,STP,Retail Trade
transport,STP,Transport
transport,STP,Transport Equipment
transport,STP,Wholesale Trade
water,STP,"Electricity, Gas and Water"
wood processing,STP,Wood and Paper
agriculture,SUD,Agriculture
fishery,SUD,Fishing
food processing,SUD,Food & Beverages
fuel,SUD,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SUD,Electrical and Machinery
manufacturing,SUD,Finacial Intermediation and Business Activities
manufacturing,SUD,Metal Products
manufacturing,SUD,Other Manufacturing
manufacturing,SUD,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SUD,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SUD,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SUD,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SUD,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SUD,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SUD,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SUD,Mining and Quarrying
public services,SUD,Public Administration
research,SUD,"Education, Health and Other Services"
services,SUD,Construction
services,SUD,Hotels and Restraurants
services,SUD,Maintenance and Repair
services,SUD,Others
services,SUD,Post and Telecommunications
services,SUD,Private Households
services,SUD,Recycling
transport,SUD,Re-export & Re-import
transport,SUD,Retail Trade
transport,SUD,Transport
transport,SUD,Transport Equipment
transport,SUD,Wholesale Trade
water,SUD,"Electricity, Gas and Water"
wood processing,SUD,Wood and Paper
agriculture,SUR,Agriculture
fishery,SUR,Fishing
food processing,SUR,Food & Beverages
fuel,SUR,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SUR,Electrical and Machinery
manufacturing,SUR,Finacial Intermediation and Business Activities
manufacturing,SUR,Metal Products
manufacturing,SUR,Other Manufacturing
manufacturing,SUR,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SUR,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SUR,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SUR,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SUR,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SUR,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SUR,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SUR,Mining and Quarrying
public services,SUR,Public Administration
research,SUR,"Education, Health and Other Services"
services,SUR,Construction
services,SUR,Hotels and Restraurants
services,SUR,Maintenance and Repair
services,SUR,Others
services,SUR,Post and Telecommunications
services,SUR,Private Households
services,SUR,Recycling
transport,SUR,Re-export & Re-import
transport,SUR,Retail Trade
transport,SUR,Transport
transport,SUR,Transport Equipment
transport,SUR,Wholesale Trade
water,SUR,"Electricity, Gas and Water"
wood processing,SUR,Wood and Paper
agriculture,SVK,"Products of agriculture, hunting and related services"
chemicals,SVK,"Chemicals, chemical products and man-made fibres"
fishery,SVK,Fish and other fishing products; services incidental of fishing
food processing,SVK,Food products and beverages
food processing,SVK,Tobacco products
forestry,SVK,"Products of forestry, logging and related services"
fuel,SVK,Coal and lignite; peat
fuel,SVK,"Coke, refined petroleum products and nuclear fuels"
fuel,SVK,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,SVK,Computer and related services
manufacturing,SVK,Electrical machinery and apparatus n_e_c_
manufacturing,SVK,"Fabricated metal products, except machinery and equipment"
manufacturing,SVK,Furniture; other manufactured goods n_e_c_
manufacturing,SVK,Machinery and equipment n_e_c_
manufacturing,SVK,"Medical, precision and optical instruments, watches and clocks"
manufacturing,SVK,"Motor vehicles, trailers and semi-trailers"
manufacturing,SVK,Office machinery and computers
manufacturing,SVK,Other non-metallic mineral products
manufacturing,SVK,Printed matter and recorded media
manufacturing,SVK,"Radio, television and communication equipment and apparatus"
manufacturing,SVK,Rubber and plastic products
manufacturing,SVK,Secondary raw materials
manufacturing,SVK,Textiles
Primary Inputs_Compensation of employees D_1,SVK,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SVK,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SVK,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SVK,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SVK,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SVK,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SVK,Basic metals
primary non-agricultural products,SVK,Metal ores
primary non-agricultural products,SVK,Other mining and quarrying products
primary non-agricultural products,SVK,Uranium and thorium ores
public services,SVK,Public administration and defence services; compulsory social security services
remaining,SVK,Leather and leather products
remaining,SVK,Wearing apparel; furs
research,SVK,Education services
research,SVK,Research and development services
services,SVK,Air transport services
services,SVK,Construction work
services,SVK,"Financial intermediation services, except insurance and pension funding services"
services,SVK,FISIM
services,SVK,Health and social work services
services,SVK,Hotel and restaurant services
services,SVK,"Insurance and pension funding services, except compulsory social security services"
services,SVK,Membership organisation services n_e_c_
services,SVK,Other business services
services,SVK,Other services
services,SVK,Post and telecommunication services
services,SVK,Private households with employed persons
services,SVK,Real estate services
services,SVK,"Recreational, cultural and sporting services"
services,SVK,Renting services of machinery and equipment without operator and of personal and household goods
services,SVK,Services auxiliary to financial intermediation
services,SVK,"Sewage and refuse disposal services, sanitation and similar services"
transport,SVK,Land transport; transport via pipeline services
transport,SVK,Other transport equipment
transport,SVK,Re-export
transport,SVK,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,SVK,Supporting and auxiliary transport services; travel agency services
transport,SVK,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,SVK,Water transport services
transport,SVK,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles"
water,SVK,"Collected and purified water, distribution services of water"
water,SVK,"Electrical energy, gas, steam and hot water"
wood processing,SVK,"Pulp, paper and paper products"
wood processing,SVK,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
agriculture,SVN,"Products of agriculture, hunting and related services"
chemicals,SVN,"Chemicals, chemical products and man-made fibres"
fishery,SVN,Fish and other fishing products; services incidental of fishing
food processing,SVN,Food products and beverages
food processing,SVN,Tobacco products
forestry,SVN,"Products of forestry, logging and related services"
fuel,SVN,Coal and lignite; peat
fuel,SVN,"Coke, refined petroleum products and nuclear fuels"
fuel,SVN,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,SVN,Computer and related services
manufacturing,SVN,Electrical machinery and apparatus n_e_c_
manufacturing,SVN,"Fabricated metal products, except machinery and equipment"
manufacturing,SVN,Furniture; other manufactured goods n_e_c_
manufacturing,SVN,Machinery and equipment n_e_c_
manufacturing,SVN,"Medical, precision and optical instruments, watches and clocks"
manufacturing,SVN,"Motor vehicles, trailers and semi-trailers"
manufacturing,SVN,Office machinery and computers
manufacturing,SVN,Other non-metallic mineral products
manufacturing,SVN,Printed matter and recorded media
manufacturing,SVN,"Radio, television and communication equipment and apparatus"
manufacturing,SVN,Rubber and plastic products
manufacturing,SVN,Secondary raw materials
manufacturing,SVN,Textiles
Primary Inputs_Compensation of employees D_1,SVN,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SVN,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SVN,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SVN,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SVN,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SVN,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SVN,Basic metals
primary non-agricultural products,SVN,Metal ores
primary non-agricultural products,SVN,Other mining and quarrying products
primary non-agricultural products,SVN,Uranium and thorium ores
public services,SVN,Public administration and defence services; compulsory social security services
remaining,SVN,Leather and leather products
remaining,SVN,Wearing apparel; furs
research,SVN,Education services
research,SVN,Research and development services
services,SVN,Air transport services
services,SVN,Construction work
services,SVN,"Financial intermediation services, except insurance and pension funding services"
services,SVN,FISIM
services,SVN,Health and social work services
services,SVN,Hotel and restaurant services
services,SVN,"Insurance and pension funding services, except compulsory social security services"
services,SVN,Membership organisation services n_e_c_
services,SVN,Other business services
services,SVN,Other services
services,SVN,Post and telecommunication services
services,SVN,Private households with employed persons
services,SVN,Real estate services
services,SVN,"Recreational, cultural and sporting services"
services,SVN,Renting services of machinery and equipment without operator and of personal and household goods
services,SVN,Services auxiliary to financial intermediation
services,SVN,"Sewage and refuse disposal services, sanitation and similar services"
transport,SVN,Land transport; transport via pipeline services
transport,SVN,Other transport equipment
transport,SVN,Re-export
transport,SVN,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,SVN,Supporting and auxiliary transport services; travel agency services
transport,SVN,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
